trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
358,85.0,2112.860744186107,65.0,2158.593409390045
359,73.0,2130.61956282833,53.0,2051.1963790758937
360,66.0,1981.8806424583497,59.0,2097.144229552777
361,60.0,1878.9923793042442,50.0,2155.0431734660915
362,55.0,1901.5414994835,63.0,2220.1789158860934
363,77.0,1980.8369188413185,56.0,2108.712762062529
364,75.0,2159.0352083272674,61.0,2036.2376574545424
365,77.0,1914.4611833685099,43.0,2021.3722549108404
366,67.0,1864.422782283533,67.0,2138.5599922093365
367,67.0,2149.5608847141043,63.0,2056.5492186568245
368,67.0,1903.0619224446352,56.0,1981.4475594530186
369,85.0,2083.988165767029,57.0,2210.9205290729496
370,74.0,2107.9766620210576,60.0,2018.0026748024345
371,68.0,1900.3057663986333,49.0,2009.086667022531
372,90.0,2239.161352266184,47.0,2033.6722504342138
373,85.0,2103.96206783657,58.0,2126.5620475707265
374,84.0,2041.082062430721,56.0,2116.2419215830814
375,81.0,1914.3160141789049,62.0,2350.104267859707
376,75.0,1950.148926013028,62.0,2164.815555039753
377,71.0,1937.2721572127896,62.0,2168.175713854021
378,55.0,1949.1033851543434,49.0,2084.261443896984
379,74.0,1999.6233022776191,64.0,2193.4187978840505
380,69.0,1943.8795438934146,53.0,2162.095389555898
381,85.0,2026.399428195722,55.0,2067.712419037979
382,66.0,1989.2751312707892,59.0,2031.648353138289
383,77.0,2024.3231368649624,62.0,2159.2471477486697
384,71.0,1911.3715644920321,53.0,2132.620938493119
385,85.0,2138.5180165611805,56.0,2078.51847386775
386,77.0,1998.687359774817,44.0,2051.0716325655076
387,68.0,1989.5396585228573,63.0,2123.256216830265
388,71.0,2053.6343756572815,60.0,2108.231238270744
389,69.0,1954.6960455039189,50.0,2142.1617904271066
390,69.0,2070.242059482942,52.0,2195.235384636675
391,85.0,2080.7497090992124,60.0,2080.4165467912812
392,90.0,2097.4933229724593,39.0,2072.9414904835644
393,72.0,1951.8132142941686,59.0,2091.08597241493
394,65.0,1922.835332161732,59.0,2022.9272654112694
395,85.0,1951.5653196848555,68.0,2261.1067072422197
396,69.0,1970.828205496678,50.0,2137.577610669507
397,84.0,1996.0604025624173,53.0,2094.040797605648
398,63.0,1975.8448366831442,57.0,2112.197095428937
399,80.0,2077.500589809631,54.0,2203.11052215122
400,61.0,2156.0839901488453,52.0,2150.4861275940157
401,76.0,2134.8357131711464,54.0,2057.5977617672947
402,78.0,2027.892216438036,48.0,1990.14532892766
403,64.0,2078.333175863096,43.0,1971.2361871596665
404,60.0,1868.6503338596601,52.0,2012.4984233295763
405,85.0,2020.9751707654307,59.0,2203.346796070145
406,55.0,1868.997831541548,52.0,2167.0875272576313
407,75.0,2291.839673612924,61.0,2071.0154791215555
408,75.0,2009.9917195342252,52.0,2039.891248745676
409,64.0,2141.8296968601444,58.0,2128.354691065642
410,67.0,1890.9120958135197,56.0,2004.114579416938
411,83.0,2002.661093010179,63.0,2187.0124375859436
412,69.0,2081.4467762509857,58.0,2082.0873386122835
413,74.0,2086.591708951878,63.0,2011.6007404023258
414,81.0,2035.7144420351347,70.0,2156.488161579059
415,71.0,1942.7167480633973,68.0,2248.9670630452442
416,68.0,2017.3403426766934,56.0,2092.1844846896165
