trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
183,65.0,2098.97687773856,47.0,2139.0035241222404
184,68.0,1873.9425222468092,53.0,2125.6087554438664
185,69.0,1884.3679300865306,46.0,2216.563562579761
186,75.0,2073.877112465113,56.0,1995.6646061743916
187,63.0,2009.801783819852,53.0,2059.2595841462435
188,75.0,1984.722183277914,49.0,2028.9846866489474
189,70.0,1952.381667618281,48.0,2066.17167193064
190,61.0,2004.316251325311,59.0,2107.6805920118923
191,66.0,1897.313241600956,49.0,2074.779904189348
192,70.0,1942.113705154522,64.0,2236.954115528339
193,64.0,1985.4154521187409,43.0,2082.9494654353043
194,83.0,1863.0995186115742,66.0,2092.275002130976
195,60.0,2025.8252839107288,45.0,2048.6552887873104
196,90.0,2131.909108592861,55.0,2089.806347095587
197,68.0,1875.2322141984812,63.0,2092.3759106210887
198,67.0,1884.940176895644,46.0,2143.042010221042
199,66.0,1908.927804899899,53.0,2039.7949571497377
200,68.0,2058.481294952689,56.0,2115.501923547561
201,72.0,1977.640684175022,63.0,2259.44337400764
202,74.0,2060.955220297084,59.0,2082.4728562916785
203,75.0,1983.387235228599,50.0,1997.3106541220893
204,71.0,2124.264953236134,55.0,2163.5537086180707
205,66.0,1964.1174282629393,61.0,2183.6525543676107
206,68.0,1915.6595477365004,57.0,2144.966114003117
207,75.0,2073.892411113668,47.0,2099.2853809894214
208,83.0,2152.4144172563083,63.0,2182.185437443253
209,63.0,1847.0218108156716,48.0,2077.6671863974566
210,78.0,1935.4120375069676,47.0,2135.007650710695
211,69.0,2095.947662806353,48.0,2073.2562520207744
212,77.0,2083.013643888922,53.0,2075.5368863854615
213,81.0,2040.745538004329,53.0,2209.026960188911
214,76.0,1988.7048214501963,64.0,2176.5327594336063
215,70.0,2020.6720718414924,56.0,2044.92219365174
216,75.0,2037.2444880208902,58.0,2144.756846265401
217,74.0,1957.867079089466,58.0,2216.887819428755
218,67.0,1982.4736035636947,51.0,2048.521709239912
219,75.0,1982.4518882259883,62.0,2179.303113943201
220,77.0,2047.2825788027856,48.0,2003.2526016073025
221,66.0,1988.3409487267181,64.0,2200.2056976358613
222,78.0,2160.9052185849623,54.0,2034.5682218294878
223,69.0,1969.527826927644,48.0,2029.3066155193794
224,79.0,1986.7103610246875,57.0,2024.218941832898
225,78.0,2007.6930255501895,57.0,2184.0957468541606
226,77.0,1937.2484328232579,56.0,2037.9777138821703
227,72.0,2010.3419126043868,56.0,2027.5136407494335
228,74.0,2064.0816293313596,64.0,2117.419241800466
229,65.0,2020.5628368298383,49.0,2256.5065388636067
230,69.0,2002.653772363387,44.0,1986.89819602422
231,65.0,1930.2855750886442,59.0,2098.9898021231766
232,73.0,1942.3545164035659,50.0,2062.714547206957
233,69.0,2118.9557602262266,57.0,2215.6045732235643
234,77.0,1854.6851300342519,53.0,2065.27697775678
235,79.0,2070.88313283924,48.0,2053.8020863639354
236,71.0,2212.1792546907027,57.0,2152.8476274360187
237,94.0,2198.375239649204,48.0,2034.9046230712477
238,78.0,2024.4447879801323,69.0,2174.408903809207
239,74.0,2082.1918034213977,39.0,1979.4306748676333
240,95.0,2073.7292371291915,61.0,2086.535296231318
241,76.0,2125.8176768285493,41.0,2050.052711746075
242,58.0,1975.2638336019613,52.0,2152.7915356514554
243,58.0,1964.8214691331943,58.0,2176.0944333816756
244,84.0,1942.6377353171706,74.0,2094.2310054908153
245,64.0,1889.0705698932002,54.0,2176.1404400237593
